Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
HQ,1058,1082,978,1139,
OIG,115,64,116,74,
R01,102,64,98,66,
R02,125,104,117,102,
R03,140,129,135,123,
R04,412,256,400,245,
R05,127,109,109,109,
R06,147,152,141,147,
R07,44,36,44,36,
R08,110,114,108,94,
R09,218,205,208,189,
R0X,96,73,90,76,
Total,2694,2388,2544,2400,
