Component,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS PROCESSED,NUMBER OF REQUESTS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
HQ,2053,2311,1919,2360,
Region 1,250,221,253,220,
Region 2,1758,1483,1578,1724,
Region 3,1436,1234,1446,1267,
Region 4,854,807,828,813,
Region 5,1600,1415,1605,1405,
Region 6,583,614,586,578,
Region 7,530,636,528,642,
Region 8,370,339,366,334,
Region 9,526,619,516,642,
Region 10,449,444,446,450,
Total,10409,10123,10071,10435,
