Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
BEP,57,90,57,90,
BPD,117,149,117,146,
DO,1221,941,1297,759,
FinCEN,252,301,254,300,
FMS,281,216,259,240,
IRS,12137,10990,12198,11035,
MINT,128,142,127,145,
OCC,1933,1816,1924,1822,
TIGTA,227,329,226,310,
TTB,73,66,70,68,
Total,16426,15040,16529,14915,
