Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
BEP,3,7,1,32,8,12,25,48,,,,,
BPD,6,7.4,1,30,,,,,,,,,
CFPB,13,11,6,13,13,13,6,91,,,,,
DO,2,23,0,280,36,240,0,3205,30,169,6,1126,
FinCEN,1,1,0,6,4,5,0,20,,,,,
FMS,9,9,1,20,25,26,23,30,14,15,14,16,
IRS,,,,,14,19,0,604,18,21,0,42,
MINT,8,10,1,10,,,,,,,,,
OCC,3,8.8,1,130,33,47.7,7,126,8,15.1,1,116,
OTS,7,15,0,519,11,23,0,233,,,,,
TIGTA,13,14,9,20,18,17,0,111,3,3,3,3,
TTB,10,12,2,49,21,22,2,78,,,,,
Total,5,11,0,519,13,27,0,3205,21,92,3,1126,
